Date,AAPL,ABBV,ABT,ACN,AMD,AMGN,AMZN,AVGO,BA,BLK,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NKE,NVDA,PEP,PG,PM,QCOM,RTX,SBUX,TMO,TSLA,TXN,UNH,UNP,V,WMT,XOM
2023-03-24,157.96160888671875,141.78257751464844,92.44410705566406,260.8635559082031,97.94999694824219,216.67507934570312,98.12999725341797,61.2628059387207,197.52999877929688,600.892333984375,298.9200134277344,206.68572998046875,475.5250549316406,187.7784423828125,46.39107894897461,137.45205688476562,216.71707153320312,104.57567596435547,290.4333801269531,262.38134765625,166.30825805664062,113.03095245361328,28.656166076660156,139.6024627685547,116.34186553955078,55.689918518066406,328.7536315917969,178.6544952392578,345.5440979003906,253.1883544921875,204.40591430664062,95.5999755859375,274.079345703125,69.3401870727539,114.04027557373047,26.75531005859375,161.85830688476562,135.9068145751953,79.40908813476562,116.51380157470703,90.33256530761719,91.31232452392578,553.1135864257812,190.41000366210938,164.0030059814453,448.72088623046875,175.96385192871094,216.07778930664062,45.6619987487793,93.47789001464844
2023-03-27,156.01971435546875,141.35191345214844,92.83067321777344,262.7433166503906,96.61000061035156,215.5189971923828,98.04000091552734,60.36433410644531,200.57000732421875,604.09765625,302.1400146484375,207.62863159179688,473.5567932128906,188.96401977539062,46.418636322021484,138.85244750976562,216.54244995117188,101.6201171875,295.9713439941406,260.7589416503906,166.1580047607422,116.65760803222656,28.480480194091797,140.19691467285156,119.67630767822266,56.10142135620117,327.2572021484375,179.66346740722656,348.48236083984375,255.53053283691406,201.26060485839844,97.54298400878906,269.9861755371094,69.11114501953125,111.30050659179688,26.50753402709961,162.21981811523438,135.1935272216797,81.02790069580078,115.43048095703125,90.77279663085938,91.60945129394531,556.511962890625,191.80999755859375,161.7555389404297,454.2923583984375,180.3697052001953,216.83055114746094,46.42517852783203,95.5274887084961
2023-03-28,155.39869689941406,141.9889678955078,91.5578384399414,263.74072265625,94.55999755859375,217.08468627929688,97.23999786376953,60.15824890136719,204.9600067138672,602.1596069335938,302.32000732421875,209.68588256835938,467.3639221191406,189.99154663085938,46.28086471557617,140.47305297851562,215.5643768310547,100.20183563232422,295.8876647949219,260.341796875,166.0961151123047,116.6846694946289,28.58784294128418,138.8433837890625,120.03955078125,56.16543197631836,330.24029541015625,179.30514526367188,348.1973571777344,257.4061584472656,199.11740112304688,96.26589965820312,268.8628234863281,68.92792510986328,111.35719299316406,26.386640548706055,162.16558837890625,135.5733184814453,82.45420837402344,113.3198471069336,90.6697769165039,91.66516876220703,549.1207275390625,189.19000244140625,162.1575164794922,445.5062561035156,183.4967498779297,215.3837890625,46.244842529296875,96.71934509277344
2023-03-29,158.4741668701172,141.7646484375,92.98150634765625,268.47845458984375,96.08999633789062,219.4059295654297,100.25,60.23529052734375,207.97000122070312,612.3905639648438,305.29998779296875,212.39077758789062,471.3004455566406,194.27944946289062,46.997257232666016,141.67970275878906,216.1145477294922,100.55888366699219,298.0061950683594,262.6965637207031,167.11260986328125,117.01847076416016,30.76438331604004,140.20608520507812,120.28170013427734,56.56779479980469,328.4992980957031,180.9930419921875,353.3074035644531,258.88983154296875,203.7510528564453,95.70945739746094,274.0206604003906,69.72492980957031,113.83242797851562,26.960132598876953,163.28627014160156,135.9901580810547,82.88297271728516,116.82197570800781,91.51275634765625,93.42938232421875,550.0323486328125,193.8800048828125,165.40084838867188,439.8594665527344,185.83969116210938,218.28709411621094,46.444496154785156,98.38066864013672
2023-03-30,160.04144287109375,141.69290161132812,93.41521453857422,271.08709716796875,97.87999725341797,219.83375549316406,102.0,61.02975845336914,211.0399932861328,615.9500732421875,305.0799865722656,213.8574676513672,471.8861999511719,194.23992919921875,47.236061096191406,143.0272674560547,218.3787841796875,100.06298065185547,298.3964538574219,264.55072021484375,167.15679931640625,116.57642364501953,31.320720672607422,140.3157958984375,119.91845703125,56.55863952636719,333.2136535644531,181.66253662109375,353.04205322265625,259.2164306640625,206.22166442871094,96.62165832519531,277.478759765625,70.1646728515625,113.46397399902344,27.35877799987793,163.430908203125,136.5830078125,84.54551696777344,118.97930908203125,91.20366668701172,94.07935333251953,557.7801513671875,195.27999877929688,168.32443237304688,443.130615234375,185.15830993652344,217.36819458007812,46.908203125,98.85921478271484
2023-03-31,162.545166015625,142.9938507080078,95.47057342529297,274.10809326171875,98.01000213623047,220.0613555908203,103.29000091552734,61.77992248535156,212.42999267578125,623.4788818359375,308.7699890136719,217.9529266357422,477.061279296875,197.38177490234375,48.01674270629883,143.7054901123047,220.33702087402344,102.87970733642578,303.94366455078125,273.5989074707031,168.9245147705078,118.2634506225586,31.886810302734375,141.75160217285156,121.37144470214844,56.723243713378906,335.8836669921875,188.56509399414062,357.1202697753906,260.91473388671875,210.28976440429688,97.0503921508789,281.6304016113281,70.61356353759766,115.8636245727539,27.752431869506836,164.75946044921875,137.73162841796875,85.0968017578125,119.14741516113281,91.72819519042969,96.68854522705078,571.0567016601562,207.4600067138672,169.94151306152344,445.51568603515625,187.8652801513672,220.3986053466797,47.48139190673828,99.01272583007812
2023-04-03,163.7970428466797,143.93597412109375,95.78169250488281,274.13690185546875,96.55999755859375,222.50999450683594,102.41000366210938,61.86949157714844,215.38999938964844,620.953857421875,310.30999755859375,218.93389892578125,477.2148742675781,194.1312713623047,48.04430389404297,149.6858673095703,218.63232421875,103.50454711914062,303.3955078125,276.01861572265625,170.8336639404297,119.13854217529297,32.10154342651367,143.44346618652344,121.23174285888672,57.06158447265625,343.04302978515625,192.35580444335938,360.12725830078125,263.275634765625,211.4109649658203,99.31269836425781,280.5852355957031,70.23795318603516,114.94721984863281,27.940265655517578,164.9402313232422,138.4911651611328,85.66557312011719,116.49513244628906,94.21038055419922,97.35710144042969,564.8147583007812,194.77000427246094,168.2513427734375,465.8782043457031,186.259765625,223.85911560058594,47.88069534301758,104.85450744628906
2023-04-04,163.26475524902344,143.36172485351562,96.92253112792969,274.13690185546875,95.87000274658203,225.32278442382812,103.94999694824219,61.093318939208984,213.89999389648438,614.1516723632812,309.07000732421875,207.1047821044922,477.88702392578125,194.83274841308594,47.95177459716797,148.88436889648438,217.6619110107422,103.8615951538086,299.79949951171875,273.4505920410156,168.7654266357422,118.72354125976562,32.3065071105957,144.94329833984375,119.611083984375,56.887847900390625,346.8378601074219,191.42225646972656,357.60174560546875,263.4062194824219,213.0481414794922,99.27621459960938,280.5363464355469,70.68685913085938,116.8556137084961,27.42871856689453,164.3527374267578,139.1580810546875,85.35054779052734,114.21640014648438,93.20814514160156,96.56784057617188,570.868408203125,192.5800018310547,164.81613159179688,464.9920959472656,182.84336853027344,222.54920959472656,47.41054916381836,103.85227966308594
2023-04-05,161.4214630126953,144.27694702148438,98.25189971923828,269.8115539550781,92.55999755859375,230.63882446289062,101.0999984741211,60.573307037353516,210.0,611.2910766601562,310.3900146484375,203.3712921142578,477.3109436035156,192.96542358398438,47.95177459716797,149.6241912841797,216.54290771484375,103.61363983154297,298.75885009765625,267.619384765625,167.43077087402344,119.21070098876953,32.04298400878906,151.45472717285156,119.78944396972656,57.427371978759766,354.2906799316406,188.05584716796875,358.05450439453125,263.16357421875,209.8333282470703,102.08582305908203,277.7620849609375,71.75869750976562,114.21977996826172,26.857227325439453,165.9705047607422,140.1121826171875,86.40057373046875,114.90748596191406,92.50564575195312,97.40353393554688,574.514404296875,185.52000427246094,161.89254760742188,480.056640625,181.2844696044922,223.0477294921875,48.19627380371094,105.63101959228516
2023-04-06,162.30860900878906,144.94985961914062,98.93075561523438,270.16644287109375,92.47000122070312,230.5933380126953,102.05999755859375,59.95988082885742,211.3699951171875,611.6265869140625,312.510009765625,199.21873474121094,466.60546875,190.23854064941406,47.44282150268555,147.6600799560547,215.89602661132812,107.53125762939453,299.5672302246094,267.5636901855469,168.34117126464844,117.73116302490234,32.023460388183594,151.03402709960938,119.65802001953125,57.46395492553711,360.20794677734375,187.24488830566406,355.77105712890625,263.9754943847656,214.41737365722656,102.46894836425781,284.8541259765625,72.34500885009766,113.57734680175781,27.013086318969727,166.62124633789062,141.00146484375,86.65435028076172,114.87012481689453,91.99046325683594,97.1992416381836,570.0460815429688,185.05999755859375,162.73309326171875,483.4315185546875,185.41966247558594,220.91668701171875,48.56015396118164,103.87937927246094
2023-04-10,159.71617126464844,144.7075958251953,97.77106475830078,270.1471862792969,95.4800033569336,228.3904266357422,102.16999816894531,60.41728973388672,210.77999877929688,614.8133544921875,312.6199951171875,205.27613830566406,474.1424560546875,189.19126892089844,47.49835205078125,148.2237548828125,218.15145874023438,105.56749725341797,301.9459533691406,269.9370422363281,169.41949462890625,118.20932006835938,31.74040985107422,150.27499389648438,120.05229187011719,57.32677459716797,358.9461669921875,188.38589477539062,354.4620056152344,264.8059997558594,213.07786560058594,102.72437286376953,282.6951904296875,71.85029602050781,115.1739730834961,27.55460548400879,165.57284545898438,139.83428955078125,86.2518539428711,116.07485961914062,93.3111801147461,97.25495147705078,569.0650634765625,184.50999450683594,163.92079162597656,485.6657409667969,185.16761779785156,221.34683227539062,48.46676254272461,103.41889953613281
